"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000125730",0,-2.27095502046708,0.228,0.836,0
"ENSG00000182601",0,-2.38845758547289,0.232,0.767,0
"ENSG00000145703",0,2.78951298677516,0.675,0.154,0
"ENSG00000118785",0,-1.99502218350442,0.277,0.793,0
"ENSG00000134215",0,5.28423840303449,0.532,0.023,0
"ENSG00000123095",0,-2.56203566850555,0.187,0.695,0
"ENSG00000250125",0,-2.51592592645319,0.148,0.639,0
"ENSG00000101463",0,-2.05631414295173,0.263,0.743,0
"ENSG00000117154",0,-1.69123892638916,0.3,0.777,0
"ENSG00000125257",0,-1.66927539722038,0.337,0.813,0
"ENSG00000042980",0,-1.56086698678653,0.408,0.883,0
"ENSG00000126217",0,-2.23865049476382,0.213,0.688,0
"ENSG00000109794",0,-2.28086154075288,0.181,0.654,0
"ENSG00000107719",0,-1.63640179804477,0.392,0.86,0
"ENSG00000231131",0,-1.54614484221099,0.302,0.764,0
"ENSG00000128573",0,-1.98557927421612,0.221,0.662,0
"ENSG00000142583",0,-1.7989021007921,0.247,0.684,0
"ENSG00000169313",0,-1.96314920091096,0.23,0.665,0
"ENSG00000184156",0,-1.47697663112231,0.484,0.903,0
"ENSG00000140575",0,1.62590563756838,0.72,0.303,0
"ENSG00000079819",0,-1.3910907848675,0.541,0.954,0
"ENSG00000145685",0,-1.33129974446284,0.473,0.885,0
"ENSG00000087253",0,-1.43166142022123,0.404,0.804,0
"ENSG00000095585",0,-1.58442254900712,0.326,0.723,0
"ENSG00000137642",0,-1.21867797942102,0.541,0.93,0
"ENSG00000120254",0,-1.20478332229982,0.431,0.813,0
"ENSG00000026297",0,-1.42796328981318,0.525,0.905,0
"ENSG00000026508",0,4.43340304003952,0.404,0.027,0
"ENSG00000128805",0,-1.22853911415725,0.475,0.85,0
"ENSG00000074706",0,-1.28145261298893,0.428,0.796,0
"ENSG00000124942",0,3.54415114797118,0.413,0.045,0
"ENSG00000172985",0,-1.06379461410225,0.545,0.913,0
"ENSG00000135048",0,1.9185483674935,0.55,0.201,0
"ENSG00000079215",0,-0.821767185928069,0.627,0.975,0
"ENSG00000135272",0,5.47093291812953,0.356,0.012,0
"ENSG00000182578",0,-1.1310855010307,0.499,0.836,0
"ENSG00000163297",0,4.89705895727182,0.347,0.014,0
"ENSG00000054654",0,4.4960185771796,0.355,0.027,0
"ENSG00000081320",0,2.10341903162098,0.487,0.16,0
"ENSG00000273749",0,-1.17617640185019,0.52,0.846,0
"ENSG00000067798",0,-1.23322325783892,0.584,0.909,0
"ENSG00000010810",0,3.04416083444611,0.434,0.112,0
"ENSG00000115232",0,4.24596708903556,0.348,0.028,0
"ENSG00000069424",0,2.11138667759952,0.445,0.126,0
"ENSG00000104043",0,-0.924708762992986,0.579,0.895,0
"ENSG00000196782",0,-0.908579878749988,0.608,0.923,0
"ENSG00000176124",0,-1.05773796910004,0.609,0.917,0
"ENSG00000105339",0,-1.10744021688166,0.577,0.883,0
"ENSG00000196369",0,-1.11720792430429,0.52,0.825,0
"ENSG00000138639",0,-0.779584149990572,0.668,0.97,0
"ENSG00000187231",0,2.07263183449369,0.407,0.109,0
"ENSG00000158270",0,4.46047741997269,0.323,0.027,0
"ENSG00000015133",0,5.40351443819515,0.294,0.01,0
"ENSG00000111913",0,2.9930275729541,0.375,0.092,0
"ENSG00000148655",0,-0.671405993211149,0.712,0.993,0
"ENSG00000124491",0,2.42230711285184,0.422,0.143,0
"ENSG00000141293",0,6.20829706184144,0.285,0.01,0
"ENSG00000134242",0,3.37693422432595,0.314,0.041,0
"ENSG00000203710",0,5.59686021633537,0.281,0.008,0
"ENSG00000266028",0,-0.978009281741231,0.69,0.963,0
"ENSG00000128512",0,-0.905412677958912,0.721,0.993,0
"ENSG00000205045",0,7.77851350246998,0.268,0.003,0
"ENSG00000118596",0,2.49403681345969,0.348,0.083,0
"ENSG00000120594",0,-0.85992337147188,0.734,0.998,0
"ENSG00000140563",0,4.72687690661136,0.282,0.018,0
"ENSG00000138756",0,-0.861319577242376,0.667,0.93,0
"ENSG00000123146",0,3.85136437057651,0.289,0.029,0
"ENSG00000138378",0,3.26524984915125,0.315,0.058,0
"ENSG00000088827",0,3.87108810627498,0.28,0.025,0
"ENSG00000134954",0,3.43742613992827,0.322,0.067,0
"ENSG00000071205",0,3.05810059127363,0.292,0.04,0
"ENSG00000198821",0,3.66913996635999,0.285,0.044,0
"ENSG00000112297",0,3.36291829884793,0.273,0.037,0
"ENSG00000111371",0,2.80396834105018,0.303,0.071,0
"ENSG00000081189",0,-0.741597736465483,0.733,0.961,0
"ENSG00000081985",0,3.60973509643608,0.25,0.026,0
"ENSG00000127152",0,3.63988692513665,0.26,0.038,0
"ENSG00000073849",0,-0.906849015968636,0.74,0.962,0
"ENSG00000135269",0,3.08721699494836,0.254,0.035,0
"ENSG00000020633",0,3.02649740122969,0.253,0.049,0
"ENSG00000151474",0,-0.950112185155926,0.789,0.992,0
"ENSG00000068305",0,-0.74484541254115,0.801,0.978,0
"ENSG00000077420",0,-0.655465142201523,0.787,0.942,0
"ENSG00000123104",0,-0.57534284331155,0.843,0.966,0
"ENSG00000131370",5.26673978466769e-321,2.38641230448863,0.308,0.072,1.86879727779364e-316
"ENSG00000123094",3.51379487322295e-319,-1.85521460777153,0.252,0.654,1.2467998348657e-314
"ENSG00000287684",4.1397760465038e-319,-1.90898535343323,0.235,0.641,1.46891673458095e-314
"ENSG00000250722",1.16380199479672e-307,2.77757242380221,0.281,0.065,4.12951861813719e-303
"ENSG00000129667",1.34425226023755e-304,-0.933446713658233,0.583,0.854,4.76981029500091e-300
"ENSG00000145779",1.03608159948819e-301,1.42368966083475,0.633,0.288,3.67632833946394e-297
"ENSG00000152818",1.81707522393586e-300,0.827703923766766,0.879,0.654,6.4475280170916e-296
"ENSG00000287616",1.57073998297445e-292,-1.65594095253257,0.274,0.655,5.57345668158826e-288
"ENSG00000146090",6.09496696204123e-291,-2.54515947648125,0.137,0.534,2.16267712714109e-286
"ENSG00000186417",6.77623098448634e-287,-2.01445233793744,0.201,0.595,2.40441004022529e-282
"ENSG00000184640",2.44942003743348e-285,1.64240609793798,0.496,0.189,8.69127711882522e-281
"ENSG00000112799",4.0980961018061e-285,-1.32999016039104,0.372,0.725,1.45412743980386e-280
"ENSG00000184005",1.462917171086e-284,-1.13402292008982,0.472,0.784,5.19086899816446e-280
"ENSG00000148700",7.84961899619386e-278,1.79433107862677,0.431,0.15,2.78528030841947e-273
"ENSG00000182247",1.37846039722499e-276,-0.658539336764571,0.717,0.937,4.89119102747343e-272
"ENSG00000117115",1.30330699087736e-273,-2.285645169717,0.157,0.544,4.62452419573015e-269
"ENSG00000164830",1.28349510622615e-272,-0.78549185967203,0.704,0.881,4.55422568542225e-268
"ENSG00000176463",2.42782192697743e-271,2.0387350485775,0.371,0.118,8.614640543494e-267
"ENSG00000168675",4.98062968565772e-269,-0.58790978243794,0.777,0.963,1.76727683136193e-264
"ENSG00000140836",1.4595142740247e-268,-0.781941021391743,0.62,0.905,5.17879449852186e-264
"ENSG00000121895",1.99584383779568e-267,-1.94328971514435,0.197,0.576,7.08185268965041e-263
"ENSG00000171943",8.47088787593029e-267,-1.02487177433213,0.506,0.775,3.00572514501634e-262
"ENSG00000187164",1.8125061090912e-266,-0.985312984215579,0.522,0.798,6.43131542688831e-262
"ENSG00000146555",7.10620337880453e-266,-1.33171679949698,0.351,0.714,2.52149414490121e-261
"ENSG00000171914",3.73972713107137e-264,-1.63892552186241,0.263,0.629,1.32696737791806e-259
"ENSG00000019582",3.90952842065844e-259,-1.17722664158516,0.433,0.747,1.38721796950223e-254
"ENSG00000139679",1.71506458773921e-257,-0.955062722226808,0.536,0.827,6.08556367667503e-253
"ENSG00000114423",1.40344962321251e-256,1.71693274899979,0.573,0.292,4.97986029804495e-252
"ENSG00000176533",2.41885244562424e-255,-1.41357201150771,0.34,0.674,8.58281413280849e-251
"ENSG00000227082",4.48810335694224e-255,-1.29053569150931,0.362,0.715,1.59251371414382e-250
"ENSG00000236963",3.00957924612301e-254,-3.41170835930097,0.064,0.43,1.06788900390183e-249
"ENSG00000186047",2.04295187327954e-253,-2.12628632244429,0.19,0.55,7.24900613195779e-249
"ENSG00000120708",4.26360334008183e-252,2.02377385826686,0.324,0.095,1.51285437316124e-247
"ENSG00000205336",7.19342570264248e-252,-1.51800146719873,0.293,0.642,2.55244324206863e-247
"ENSG00000144711",4.976698367965e-248,1.54513100133901,0.485,0.2,1.76588188190502e-243
"ENSG00000196730",6.31919047879014e-247,1.80242426989145,0.425,0.163,2.24223835758911e-242
"ENSG00000006747",2.53243038078795e-243,-1.93885848828727,0.202,0.555,8.98582272014989e-239
"ENSG00000138185",8.65864718983839e-242,-1.16754334066989,0.395,0.724,3.07234778237035e-237
"ENSG00000182957",6.69876996678708e-239,-1.24377731066269,0.367,0.702,2.37692454731506e-234
"ENSG00000140577",2.25359817825756e-238,1.75287331611082,0.375,0.127,7.99644241591128e-234
"ENSG00000155903",1.0267267417203e-237,0.928718468422199,0.795,0.537,3.64313449764613e-233
"ENSG00000175899",1.11083014932049e-236,-1.36051215532936,0.327,0.664,3.94155861883389e-232
"ENSG00000170571",8.06728949769328e-236,1.38511336592911,0.587,0.295,2.86251633246651e-231
"ENSG00000170677",1.5038658043101e-235,-1.63805877285962,0.276,0.601,5.33616703343353e-231
"ENSG00000159842",1.67179173230675e-231,-0.596672564939734,0.762,0.919,5.93201860374403e-227
"ENSG00000131504",2.19983228702079e-230,1.5668938185506,0.479,0.204,7.80566490403587e-226
"ENSG00000134352",1.27563781645384e-227,-1.03101058670194,0.485,0.742,4.52634566412316e-223
"ENSG00000136717",1.32967404439925e-227,-1.64164149717732,0.278,0.597,4.71808241174185e-223
"ENSG00000137491",1.02259077867247e-226,-0.799696641824465,0.55,0.914,3.62845885996353e-222
"ENSG00000161791",8.35268143541575e-226,-1.18408010198674,0.395,0.697,2.96378195372857e-221
"ENSG00000139117",1.17911610681811e-225,1.49957711548243,0.474,0.203,4.1838576818227e-221
"ENSG00000253535",7.84127018683929e-225,-1.71027779897899,0.246,0.583,2.78231790039619e-220
"ENSG00000198879",1.20012034178771e-224,-0.510402678361644,0.817,0.948,4.25838700876535e-220
"ENSG00000115165",1.70099483405866e-224,1.92898233413908,0.388,0.149,6.03563996969033e-220
"ENSG00000187239",6.47998253754585e-224,0.898714957157902,0.791,0.536,2.29929220379739e-219
"ENSG00000265972",1.4831114727855e-223,1.19232163871461,0.657,0.374,5.2625244388848e-219
"ENSG00000183023",6.65924885209383e-223,-0.596273133093547,0.74,0.957,2.36290127018845e-218
"ENSG00000154237",7.23410508351724e-223,-1.05917964734598,0.455,0.737,2.56687750678442e-218
"ENSG00000132334",8.99509684623843e-223,-0.695815216567597,0.667,0.874,3.19173021395078e-218
"ENSG00000011201",1.01352593746626e-221,-1.71900430341203,0.2,0.552,3.59629408391153e-217
"ENSG00000115295",1.18223331256654e-221,1.80877879201789,0.332,0.107,4.19491846297985e-217
"ENSG00000168807",7.62404673880871e-221,1.75467221485644,0.325,0.102,2.70524050433149e-216
"ENSG00000130203",1.56020633565836e-220,-1.46535857895608,0.297,0.628,5.53608014081655e-216
"ENSG00000168329",9.09126962343124e-220,-2.05029484417646,0.161,0.505,3.22585520048211e-215
"ENSG00000147454",9.95536285258998e-218,-1.01492996305609,0.476,0.752,3.5324614009845e-213
"ENSG00000198223",6.28041636404187e-217,-1.51396321505039,0.288,0.607,2.22848013845298e-212
"ENSG00000077063",1.13361314054339e-216,-1.22214960690986,0.375,0.676,4.02239950659012e-212
"ENSG00000176438",6.52089621306356e-213,1.92774241728132,0.266,0.073,2.31380960328134e-208
"ENSG00000131773",9.26430202323532e-212,-1.25314141656029,0.387,0.671,3.28725228690459e-207
"ENSG00000251442",2.62413652222689e-211,-1.97644008999352,0.169,0.499,9.31122362181766e-207
"ENSG00000182132",1.4030060972668e-210,-2.02569314976804,0.175,0.5,4.97828653493179e-206
"ENSG00000127946",1.12594822904073e-209,1.58922391026983,0.398,0.15,3.99520210110521e-205
"ENSG00000139132",3.74874090717597e-208,-0.68974257003525,0.635,0.897,1.33016573609325e-203
"ENSG00000198648",1.20061952348212e-204,2.05633645512239,0.314,0.107,4.26015825517159e-200
"ENSG00000149256",1.72694625920621e-204,-1.45716199509462,0.288,0.597,6.1277234115414e-200
"ENSG00000047365",1.20299191362604e-202,0.969547124088508,0.722,0.463,4.26857620711928e-198
"ENSG00000141441",1.88006298985617e-202,-1.47484957753355,0.283,0.586,6.67102750690665e-198
"ENSG00000173391",2.63177100696669e-201,-2.78575617114714,0.081,0.403,9.33831306401991e-197
"ENSG00000188641",3.44644640507807e-199,0.608985467405901,0.905,0.704,1.22290257791385e-194
"ENSG00000156802",1.24528520596946e-197,2.00121586223359,0.29,0.094,4.41864549634142e-193
"ENSG00000154217",2.51917001541125e-196,1.33144866247072,0.592,0.34,8.93877096568372e-192
"ENSG00000153250",1.24740248362551e-195,0.885355584708141,0.766,0.557,4.42615823264838e-191
"ENSG00000129682",1.34968746517029e-194,2.40765507248464,0.281,0.093,4.78909603266375e-190
"ENSG00000101596",3.78598719603755e-194,0.867942197657974,0.772,0.548,1.34338183677e-189
"ENSG00000141837",1.22009460294006e-189,-1.22395884279943,0.373,0.647,4.32926167961222e-185
"ENSG00000165322",1.13630128699338e-187,-0.847573352579541,0.536,0.755,4.03193785663862e-183
"ENSG00000152315",3.55386529724394e-187,-1.4261937011814,0.246,0.568,1.26101802342107e-182
"ENSG00000153814",6.32700980281311e-187,-0.578938107775904,0.717,0.889,2.24501288833217e-182
"ENSG00000128815",1.77756870625804e-186,-0.968821089980642,0.444,0.707,6.30734704041539e-182
"ENSG00000048052",5.12154865752435e-186,-0.711035227768682,0.607,0.848,1.81727911014936e-181
"ENSG00000197520",2.84860015860038e-185,-2.47051062931588,0.119,0.419,1.01076879427617e-180
"ENSG00000071073",2.97690104570393e-184,-0.553243507137372,0.722,0.888,1.05629379804713e-179
"ENSG00000178607",4.68335649255331e-182,1.8626386887911,0.336,0.127,1.66179538425269e-177
"ENSG00000109790",6.50010167606316e-181,-1.11258896967114,0.385,0.657,2.30643107771749e-176
"ENSG00000186469",1.33655197171784e-180,1.19450331814775,0.573,0.313,4.7424873612464e-176
"ENSG00000073331",1.65673755235895e-180,-1.03177200187585,0.408,0.679,5.87860185703527e-176
"ENSG00000071246",7.81816529501573e-179,-1.7739428583655,0.198,0.492,2.77411959163043e-174
"ENSG00000106799",3.17485931046351e-178,-0.831112586607583,0.545,0.757,1.12653532913177e-173
"ENSG00000121297",9.94461247635292e-175,1.76558198039073,0.292,0.101,3.52864684498431e-170
"ENSG00000106034",9.50087832000357e-172,-1.05927640687652,0.38,0.663,3.37119665428687e-167
"ENSG00000111961",1.29106249387356e-171,1.94153555707214,0.255,0.081,4.58107704701154e-167
"ENSG00000124813",6.16331531330904e-171,-0.929055127493062,0.408,0.701,2.18692917262145e-166
"ENSG00000170542",1.53153986563601e-170,-1.23542343149445,0.341,0.607,5.43436290523624e-166
"ENSG00000285367",3.61003131527404e-169,-2.7181811323468,0.082,0.365,1.28094741159869e-164
"ENSG00000148429",4.63373513395444e-169,-1.17587542885465,0.342,0.614,1.64418823758105e-164
"ENSG00000156113",4.99474840272562e-169,-0.604690850796044,0.668,0.884,1.77228657573913e-164
"ENSG00000140678",1.31764669752933e-167,-1.59406635357437,0.199,0.497,4.67540577684333e-163
"ENSG00000100311",3.55048637915685e-167,-1.98694229539643,0.145,0.436,1.25981908191623e-162
"ENSG00000113810",9.87353755832948e-167,1.77564961061027,0.259,0.083,3.50342733182205e-162
"ENSG00000009950",3.12247862554011e-166,-2.01649427852635,0.148,0.433,1.1079490907004e-161
"ENSG00000059377",3.79560602631856e-166,-0.527377287272011,0.715,0.931,1.34679488631862e-161
"ENSG00000027697",4.74151688898596e-166,-0.901201808041121,0.493,0.71,1.68243243771889e-161
"ENSG00000055163",1.43498996937576e-165,1.73216868247216,0.317,0.121,5.09177490833602e-161
"ENSG00000106462",4.97811314401418e-165,2.04835694887393,0.263,0.09,1.76638388689055e-160
"ENSG00000198846",7.22571457143003e-165,1.93039673835857,0.345,0.146,2.56390030138052e-160
"ENSG00000173744",1.86987185443612e-163,0.97523724903422,0.683,0.49,6.6348663010957e-159
"ENSG00000198804",7.64860719100909e-163,0.840189783563151,0.769,0.58,2.71395528958576e-158
"ENSG00000065809",6.25541987566568e-161,1.6436730330807,0.318,0.121,2.21961063448245e-156
"ENSG00000163947",1.76428604940154e-160,1.63470800739811,0.37,0.163,6.26021618909149e-156
"ENSG00000116991",8.25807430928044e-159,-1.04440165414371,0.39,0.643,2.93021250716198e-154
"ENSG00000228340",1.06440383501554e-158,-1.00843346091018,0.388,0.66,3.77682412778564e-154
"ENSG00000127124",1.2867904260262e-158,-0.840227502166538,0.486,0.738,4.56591846866878e-154
"ENSG00000075391",1.29834960888337e-158,-0.886900156325242,0.459,0.719,4.60693391720086e-154
"ENSG00000257258",3.25647959131477e-158,-1.83724480401757,0.157,0.439,1.15549665338622e-153
"ENSG00000114450",4.6616023827326e-158,-1.15596904269658,0.362,0.605,1.65407637346501e-153
"ENSG00000135749",3.96541997655821e-157,-0.79232369115882,0.497,0.76,1.40704997028215e-152
"ENSG00000229751",1.57749794994357e-156,-2.48366981463084,0.089,0.362,5.59743597578479e-152
"ENSG00000131724",1.72788895804453e-156,-1.16107292925613,0.346,0.601,6.13106838982942e-152
"ENSG00000136048",4.73686521410225e-155,1.6216508818191,0.292,0.107,1.6807818839199e-150
"ENSG00000162367",6.50980012381651e-155,-2.36557397384995,0.103,0.373,2.30987237793381e-150
"ENSG00000157514",1.4377431630541e-154,1.44879855230344,0.343,0.139,5.10154406546485e-150
"ENSG00000171316",1.4551680380381e-154,-0.862745687568006,0.479,0.71,5.16337274937061e-150
"ENSG00000173369",4.87135473712431e-154,-1.00740100153912,0.397,0.661,1.72850280137382e-149
"ENSG00000151914",1.15492673352401e-153,-0.742454684219635,0.567,0.774,4.09802652856324e-149
"ENSG00000258168",3.54269998481034e-153,-2.74559857928164,0.067,0.332,1.25705623561025e-148
"ENSG00000176771",4.33374144784401e-153,-1.15334658182461,0.309,0.587,1.53774147793849e-148
"ENSG00000152128",4.53991718357546e-153,-1.40724048113189,0.254,0.524,1.61089881424808e-148
"ENSG00000071051",7.51011319647527e-152,-0.635366522716801,0.641,0.807,2.66481346550532e-147
"ENSG00000139974",1.41825452120369e-151,1.52048851028426,0.337,0.138,5.03239251758707e-147
"ENSG00000110090",1.41714295980144e-150,1.42181579241297,0.318,0.122,5.02844836426346e-146
