"disease_group","mean_expr","gene"
"AD_High",0.59688202468359,"TYROBP"
"AD_Low_Int",0.592363141082418,"TYROBP"
"Control",0.531572618003905,"TYROBP"
"Reference",0.580735428503399,"TYROBP"
"AD_High",0.301277801738619,"TREM2"
"AD_Low_Int",0.309584467548571,"TREM2"
"Control",0.304812215235604,"TREM2"
"Reference",0.329556166585174,"TREM2"
"AD_High",1.53497511222747,"SPP1"
"AD_Low_Int",1.57159006544396,"SPP1"
"Control",1.71304747291616,"SPP1"
"Reference",0.951936779640469,"SPP1"
"AD_High",0.757473609054806,"CX3CR1"
"AD_Low_Int",0.769925952882018,"CX3CR1"
"Control",0.785538573977832,"CX3CR1"
"Reference",1.66931684985578,"CX3CR1"
"AD_High",1.19319937105176,"P2RY12"
"AD_Low_Int",1.100033883849,"P2RY12"
"Control",1.12467651063427,"P2RY12"
"Reference",1.98816957074645,"P2RY12"
"AD_High",1.55789757480282,"CSF1R"
"AD_Low_Int",1.50188806732244,"CSF1R"
"Control",1.46539967252735,"CSF1R"
"Reference",1.76932001621976,"CSF1R"
"AD_High",0.28573390456743,"TMEM119"
"AD_Low_Int",0.238243119457817,"TMEM119"
"Control",0.206585379783295,"TMEM119"
"Reference",0.273461850366689,"TMEM119"
