gene,logfoldchange,pval_adj,score
ENSG00000271367,6.4906397,1.0,0.09098445
ENSG00000278522,6.453158,1.0,0.09098445
ENSG00000284650,6.436469,1.0,0.09098445
ENSG00000259383,6.316406,1.0,0.09098445
ENSG00000256034,6.272875,1.0,0.09098445
ENSG00000235070,6.2012725,1.0,0.09098445
ENSG00000197176,6.173126,1.0,0.09098445
ENSG00000237786,5.9708295,1.0,0.09097675
ENSG00000267886,5.6630945,1.0,0.09097675
ENSG00000234300,5.655046,1.0,0.09097675
ENSG00000241101,5.5207806,1.0,0.089654125
ENSG00000224612,5.416206,1.0,0.089654125
ENSG00000231914,5.0059,1.0,0.089646436
ENSG00000263863,4.9022927,1.0,0.08963875
ENSG00000100721,4.7899365,1.0,0.08832381
ENSG00000275591,4.7229285,1.0,0.08832381
ENSG00000259518,4.574602,1.0,0.08831612
ENSG00000235010,4.3825855,1.0,0.08566318
ENSG00000274251,4.299049,1.0,0.08830843
ENSG00000180869,4.2403603,1.0,0.08830843
ENSG00000180138,4.113701,1.0,0.086978115
ENSG00000258842,4.0938063,1.0,0.086978115
ENSG00000124812,4.0235095,1.0,0.086970426
ENSG00000236641,4.0133867,1.0,0.086970426
ENSG00000227705,3.9998066,1.0,0.086970426
ENSG00000286737,3.9274933,1.0,0.0856478
ENSG00000211897,3.8854191,1.0,0.08565549
ENSG00000274198,3.8640492,1.0,0.08696274
ENSG00000259396,3.8295612,1.0,0.086970426
ENSG00000226854,3.8248308,1.0,0.086970426
ENSG00000229673,3.7468376,1.0,0.17126484
ENSG00000265107,3.736291,1.0,0.08563242
ENSG00000233587,3.6742742,1.0,0.08431748
ENSG00000270996,3.6688747,1.0,0.08432517
ENSG00000250945,3.6569026,1.0,0.08431748
ENSG00000250659,3.5914023,1.0,0.083002545
ENSG00000267695,3.38746,1.0,0.08298717
ENSG00000156096,3.3699527,1.0,0.08297948
ENSG00000172410,3.3108807,1.0,0.08034191
ENSG00000230891,3.3097398,1.0,0.08297179
ENSG00000183691,3.2418687,1.0,0.1633137
ENSG00000229291,3.24001,1.0,0.08165685
ENSG00000254971,3.1633396,1.0,0.084294416
ENSG00000224194,3.1000957,1.0,0.07768128
ENSG00000237013,3.0829594,1.0,0.08428672
ENSG00000253778,3.068648,1.0,0.081641465
ENSG00000162399,3.0505114,1.0,0.08428672
ENSG00000234111,2.9587543,1.0,0.07899621
ENSG00000287259,2.9265182,1.0,0.07634327
ENSG00000111536,2.8800159,1.0,0.15668903
ENSG00000182187,2.8468115,1.0,0.08028808
ENSG00000149443,2.7606487,1.0,0.078973144
ENSG00000267642,2.723347,1.0,0.07765052
ENSG00000259097,2.6878278,1.0,0.16052234
ENSG00000232408,2.6692493,1.0,0.08028039
ENSG00000258854,2.6257753,1.0,0.080272704
ENSG00000227330,2.6218836,1.0,0.22773795
ENSG00000255516,2.548919,1.0,0.07761976
ENSG00000275898,2.5016692,1.0,0.07366726
ENSG00000168671,2.432921,1.0,0.07365957
ENSG00000176083,2.4002805,1.0,0.14602342
ENSG00000184709,2.3311229,1.0,0.076289445
ENSG00000211899,2.2268033,1.0,0.07230618
ENSG00000237460,2.2102735,1.0,0.07230618
ENSG00000211753,2.2065558,1.0,0.07098355
ENSG00000128218,2.1856818,1.0,0.06702336
ENSG00000286391,2.1850438,1.0,0.074928366
ENSG00000134028,2.152666,1.0,0.06834599
ENSG00000204347,2.1254313,1.0,0.07360574
ENSG00000257748,2.1095302,1.0,0.2051687
ENSG00000169245,2.0576286,1.0,0.14318593
ENSG00000147571,2.025355,1.0,0.21014392
ENSG00000232072,2.017649,1.0,0.1327587
ENSG00000126353,1.9962069,1.0,0.066977225
ENSG00000240535,1.9676603,1.0,0.07359805
ENSG00000170476,1.9670063,1.0,0.06569304
ENSG00000198028,1.9362828,1.0,0.072260045
ENSG00000253395,1.8320329,1.0,0.068284474
ENSG00000143297,1.8251102,1.0,0.06563922
ENSG00000167633,1.8010004,1.0,0.06959172
ENSG00000236668,1.7738636,1.0,0.13255876
ENSG00000169429,1.6888152,1.0,0.13117078
ENSG00000170819,1.6778904,1.0,0.13114771
ENSG00000114315,1.6467822,1.0,0.31972206
ENSG00000003436,1.6341492,1.0,0.17849316
ENSG00000089012,1.5351982,1.0,0.11928636
ENSG00000269729,1.4694103,1.0,0.06029488
ENSG00000235300,1.4556069,1.0,0.053697124
ENSG00000285691,1.3144246,1.0,0.05232836
ENSG00000160183,1.2964661,1.0,0.058903046
ENSG00000122877,1.2461066,1.0,0.20144688
