symbol,gene,logfoldchange,pval_adj,score
MYMX,ENSG00000262179,7.7185736,1.0,0.16107032
,ENSG00000286663,7.338992,1.0,0.16107032
RAET1G,ENSG00000203722,7.264497,1.0,0.16032933
LOC124908064,ENSG00000228973,7.2223444,1.0,0.16032933
SOX3,ENSG00000134595,7.1488776,1.0,0.16032933
,ENSG00000263065,6.973202,1.0,0.16032933
LYPD2,ENSG00000197353,6.1489053,1.0,0.15954827
,ENSG00000276473,6.0580745,1.0,0.15954827
,ENSG00000232886,5.754757,1.0,0.15806627
BTG4,ENSG00000137707,5.746221,1.0,0.15806627
,ENSG00000260823,5.347543,1.0,0.15802622
,ENSG00000233651,5.1919456,1.0,0.15728523
CCDC87,ENSG00000182791,5.017671,1.0,0.15876722
,ENSG00000234169,4.7826333,1.0,0.15502217
,ENSG00000253259,4.4961486,1.0,0.15723182
,ENSG00000259937,4.399929,1.0,0.15723182
,ENSG00000287246,4.2390046,1.0,0.15273243
,ENSG00000286253,4.1952934,1.0,0.15342002
CXCL3,ENSG00000163734,3.9990568,1.0,0.15492871
CCDC179,ENSG00000255359,3.98791,1.0,0.14825973
,ENSG00000238242,3.9830801,1.0,0.15193802
,ENSG00000266765,3.729747,1.0,0.15187126
PDE6H,ENSG00000139053,3.6100724,1.0,0.14963491
MT1H,ENSG00000205358,3.5810802,1.0,0.29987064
IGHA1,ENSG00000211895,3.537151,1.0,0.14815292
MZB1,ENSG00000170476,3.415227,1.0,0.14657746
CXCR3,ENSG00000186810,3.2555656,1.0,0.14505541
,ENSG00000253854,3.1950235,1.0,0.14285912
FCRL5,ENSG00000143297,3.1911602,1.0,0.1465107
TRPA1,ENSG00000104321,3.1301596,1.0,0.2877877
TYRP1,ENSG00000107165,3.0647073,1.0,0.14129701
LINC01393,ENSG00000225535,2.9369419,1.0,0.14052932
ZNF683,ENSG00000176083,2.8038318,1.0,0.13895386
BFSP2-AS1,ENSG00000249993,2.6530623,1.0,0.2798303
FASLG,ENSG00000117560,2.569009,1.0,0.13295911
BFSP2,ENSG00000170819,2.5075147,1.0,0.13073613
SIT1,ENSG00000137078,2.4614532,1.0,0.13287902
LRIG3-DT,ENSG00000257443,2.3719325,1.0,0.12700443
WNT9A,ENSG00000143816,2.3354647,1.0,0.12990166
TNIP3,ENSG00000050730,2.2465699,1.0,0.3844713
,ENSG00000232072,2.2193236,1.0,0.13126351
IL1R2,ENSG00000115590,2.1800148,1.0,0.3849586
RND3,ENSG00000115963,2.134186,1.0,0.86746866
SIRPG,ENSG00000089012,2.0502849,1.0,0.1236933
GZMK,ENSG00000113088,2.0139594,1.0,0.1228989
,ENSG00000285744,1.9037343,1.0,0.32815543
SH2D1B,ENSG00000198574,1.8731252,1.0,0.36648706
BLK,ENSG00000136573,1.8650898,1.0,0.1198815
,ENSG00000286321,1.7481958,1.0,0.11167712
,ENSG00000263787,1.7186291,1.0,0.11090942
P2RY10,ENSG00000078589,1.680613,1.0,0.11085601
,ENSG00000231079,1.669135,1.0,1.2255977
TNFSF18,ENSG00000120337,1.6270983,1.0,0.10712431
HPGD,ENSG00000164120,1.6151183,1.0,0.10641002
LOC102724858,ENSG00000287352,1.574189,1.0,0.11065574
LEF1,ENSG00000138795,1.5710591,1.0,0.10114293
,ENSG00000286174,1.5676203,1.0,0.12652378
FAM111B,ENSG00000189057,1.4615365,1.0,0.20629124
CCDC141,ENSG00000163492,1.4538827,1.0,0.2979614
MGC4859,ENSG00000283117,1.4443471,1.0,0.18888113
HBA2,ENSG00000188536,1.4433033,1.0,0.097357824
,ENSG00000242908,1.4225222,1.0,0.3075076
LINC01478,ENSG00000267337,1.3980953,1.0,0.18757269
KLRK1-AS1,ENSG00000245648,1.3844534,1.0,0.20294006
TOP2A,ENSG00000131747,1.3812078,1.0,0.21360777
RRM2,ENSG00000171848,1.3224826,1.0,0.29212022
P2RY14,ENSG00000174944,1.2835733,1.0,1.0484792
LINC01239,ENSG00000234840,1.2322211,1.0,0.07429342
BUB1B,ENSG00000156970,1.2125243,1.0,0.28468353
MYOCOS,ENSG00000283683,1.1818881,1.0,0.4511678
G0S2,ENSG00000123689,1.1365144,1.0,0.104300514
,ENSG00000224063,1.1330743,1.0,1.0489932
CD70,ENSG00000125726,1.1308684,1.0,0.08512802
VCAN-AS1,ENSG00000249835,1.1020341,1.0,0.09012809
RORA-AS1,ENSG00000245534,1.0906978,1.0,1.1146617
POLQ,ENSG00000051341,1.088838,1.0,0.40782943
,ENSG00000271893,1.0790117,1.0,0.083592616
PMP22,ENSG00000109099,1.078935,1.0,0.5913967
FLT3,ENSG00000122025,1.0701607,1.0,0.32701388
MARCO,ENSG00000019169,1.0547966,1.0,0.15196472
GZMB,ENSG00000100453,1.035595,1.0,0.08769147
